stock id,quarter,profit_margin,total_asset_turnover,financial_leverage,ROE
2408,2013-06-30,0.12228155571735154,0.14082928704329895,24.501144882148594,42.19299114147282
2609,2021-03-31,0.39476517102609393,0.2982103349815285,3.344350170730638,39.37071153784012
2408,2013-12-31,0.3164847716123758,0.13327099469660483,9.327890162823358,39.34339929578176
2912,2017-12-31,0.40884173683882485,0.39800749578606887,2.350692303568641,38.250953132612096
2408,2014-03-31,0.5191740811624707,0.12244918136393973,5.941844300263616,37.773754753900526
2609,2021-06-30,0.47247406042615625,0.30514725621449046,2.399833525179287,34.59939902437809
2408,2013-09-30,0.17255197359118357,0.12216997579096314,15.643511798019901,32.977571668070695
2603,2021-09-30,0.6081729951148386,0.27383260491636596,1.9241012230410206,32.04351911686306
2615,2021-09-30,0.50260870150441,0.3286571017043844,1.9384566091946647,32.02057366792635
2609,2021-09-30,0.5331906863774253,0.2913873154409997,1.829196371142676,28.419309918103608
2609,2020-12-31,0.22043104684736223,0.23607837652416527,5.366087221161655,27.924583262372998
2603,2021-03-31,0.4543001427633479,0.23001837903233913,2.6099558973933625,27.273355954209617
2327,2018-09-30,0.4663108182914791,0.25287715660374455,2.1662948104061828,25.544808423346367
2615,2021-06-30,0.39557740028499566,0.28287673040585737,2.244694294455682,25.11804870849802
2408,2014-06-30,0.5106403993883064,0.11997342193734613,4.070571556049272,24.937654909890746
2615,2021-03-31,0.3826834047262475,0.27506717292650823,2.350465691432281,24.741857969659122
2603,2021-06-30,0.48803710419992513,0.2287070795101161,2.188147171931349,24.423560622662745
2603,2021-12-31,0.5525143409547751,0.2553174846273348,1.7100173543949584,24.122628582280743
6415,2013-09-30,0.24567618474550776,0.8700410522803648,1.121003493671165,23.961266538455178
2609,2021-12-31,0.5405253636861647,0.2671098002807813,1.640540757589366,23.686065435940364
2615,2021-12-31,0.48265097107852295,0.2741566238000053,1.782364778515186,23.584600218409538
2408,2016-12-31,1.6595773998260863,0.08832101344325026,1.5993567271243052,23.442660446364812
2408,2014-09-30,0.5703036070308,0.13249535226345546,3.0575194430525405,23.103404929451933
2327,2018-06-30,0.5625624957851226,0.17164107137541573,2.3611679433307406,22.799161284248907
2603,2022-03-31,0.6214048379463877,0.22539479139810753,1.6213947192252256,22.70948367393462
2603,2022-06-30,0.6029363814066785,0.20010740762687435,1.7988369648652391,21.703334268775787
2615,2022-03-31,0.5046718285585226,0.25283877685676787,1.6781150187486358,21.4128496429179
3034,2021-06-30,0.28688638152832746,0.38631865354322115,1.9004521201659954,21.062627347997967
3034,2021-09-30,0.3200117395516725,0.3721569794185152,1.738147778785101,20.700401857473647
2609,2022-03-31,0.5686984104051714,0.23114079201946544,1.56664900340309,20.59350730765608
2408,2014-12-31,0.6909468314982037,0.11868549404862609,2.5109829238573766,20.591407383555076
2408,2013-03-31,0.054668122899850874,0.09752156942675934,38.18011826046055,20.35504717169191
2609,2022-06-30,0.508384561968105,0.2135709784442188,1.8310026557479313,19.88032891749117
1216,2017-12-31,0.39565170416313666,0.22868097859385686,2.167564210624899,19.61169155949732
2603,2022-09-30,0.6044507330932704,0.1933287672360376,1.5345211114026431,17.932063082642934
2615,2020-12-31,0.2778681372725127,0.2573389408964753,2.4584980800882144,17.579808197627376
2408,2017-12-31,1.3099938182764095,0.11121411080680026,1.1412715243609992,16.627161746157448
3008,2014-12-31,0.43998075421293203,0.2766240717334465,1.3215585232393086,16.08459201056215
2603,2020-12-31,0.24994980274554288,0.1935540375040647,3.293001311906276,15.931143044663607
3034,2021-12-31,0.29919567306821343,0.30302004011276473,1.7117213540475316,15.518856899252267
2615,2022-06-30,0.4016168557222354,0.2101882334764646,1.7901854441359757,15.111875030737112
2609,2022-09-30,0.4996354723527202,0.19815341476043888,1.5171151245005217,15.02011863886326
3034,2022-06-30,0.26975292250993305,0.23571184953205218,2.3328958367179573,14.83347562227342
2379,2021-06-30,0.1665961984796442,0.27217290662929816,3.2278187477795974,14.635889372529123
3008,2015-09-30,0.5101333791053969,0.20774114751407424,1.3627552177050921,14.441892934960643
2379,2021-09-30,0.1688100611814601,0.2839113047664361,2.948607736115178,14.1318172797633
2609,2020-09-30,0.07254113122498607,0.20032028267580154,9.672255970309795,14.05519998970752
3034,2022-03-31,0.30496888872699246,0.27823827139019935,1.6219020893622897,13.7624906534039
3008,2014-09-30,0.43725228716860975,0.23882781934556527,1.3091776309825025,13.67148150651382
2408,2015-03-31,0.5237173970644856,0.11334234680022004,2.1938565754616657,13.022591971376297
9910,2022-06-30,0.11345719946499962,0.4938805678579659,2.297520839521184,12.873998599136222
3034,2021-03-31,0.2228286142480339,0.3825498768351582,1.497685503436385,12.766729363692225
2379,2022-06-30,0.15335182291133867,0.2552575951857215,3.0939353857810934,12.110967977621149
2327,2018-03-31,0.3881659094667662,0.144123911778919,2.1445355042176675,11.997387128334932
2379,2021-12-31,0.16826975264935298,0.27036540344742865,2.598867091986604,11.823368998471054
3711,2021-12-31,0.18355809003443618,0.25698822285447975,2.4503062590228457,11.558650193635883
8046,2022-09-30,0.3208430071668415,0.22455275025403063,1.5747728486934272,11.345636757922032
9910,2022-09-30,0.11402642362345519,0.48443533849947634,2.0529853633752024,11.340368649133827
8046,2022-06-30,0.3203201166359305,0.21056203189158124,1.6786059016476775,11.321735964601759
9910,2016-06-30,0.10005783346044801,0.520879284713503,2.1553389596502437,11.23320695346877
3008,2013-12-31,0.36600526567967334,0.2409030206202956,1.2682988956174541,11.182816367148314
3008,2014-06-30,0.3731387483599011,0.21707315204848995,1.3794087965156938,11.17299113370981
